town,date,max_temp_c,min_temp_c,avg_temp_c,humidity,precipitation_mm,wind_kph,condition
Kisumu,2023-11-16,27.0,19.5,22.8,75,5.71,11.2,Moderate rain at times
Kisumu,2023-11-17,26.0,19.0,22.0,78,6.91,11.5,Patchy light drizzle
Kisumu,2023-11-18,26.7,18.9,22.4,72,2.53,13.3,Patchy rain possible
Kisumu,2023-11-19,26.5,18.7,22.4,71,2.84,11.5,Patchy rain possible
Kisumu,2023-11-20,25.4,18.7,21.7,79,7.58,9.0,Patchy light drizzle
Kisumu,2023-11-21,26.2,18.6,21.1,78,13.33,16.6,Moderate or heavy rain shower
Kisumu,2023-11-22,23.6,18.3,20.7,75,0.36,9.7,Patchy rain possible
Kisumu,2023-11-23,26.3,18.2,22.0,74,4.42,14.4,Light rain shower
Kisumu,2023-11-24,26.3,19.0,21.0,80,16.37,20.9,Light rain shower
Kisumu,2023-11-25,26.0,18.2,21.6,76,6.34,10.1,Patchy rain possible
Kisumu,2023-11-26,25.7,19.2,21.4,82,28.01,15.5,Light rain shower
Kisumu,2023-11-27,24.8,18.1,20.9,83,16.8,16.6,Light rain shower
Kisumu,2023-11-28,24.6,18.4,21.1,81,21.09,13.7,Moderate or heavy rain shower
Kisumu,2023-11-29,25.7,18.5,21.7,75,3.68,10.8,Patchy rain possible
Kisumu,2023-11-30,26.1,17.5,21.8,70,0.47,12.2,Patchy rain possible
Kisumu,2023-12-01,26.3,17.7,21.7,70,2.06,10.8,Patchy rain possible
Kisumu,2023-12-02,25.8,17.8,21.4,73,6.33,10.4,Patchy rain possible
Kisumu,2023-12-03,25.7,18.3,21.3,75,8.84,10.8,Patchy rain possible
Kisumu,2023-12-04,25.9,18.5,21.9,73,6.05,11.5,Patchy rain possible
Kisumu,2023-12-05,25.6,17.9,21.3,75,7.23,15.5,Patchy rain possible
Kisumu,2023-12-06,25.4,18.3,21.4,77,14.02,10.1,Moderate or heavy rain shower
Kisumu,2023-12-07,25.5,18.6,21.7,76,14.82,10.4,Patchy rain possible
Kisumu,2023-12-08,26.0,18.1,21.8,74,5.78,11.9,Patchy rain possible
Kisumu,2023-12-09,26.1,18.5,21.9,75,7.02,12.2,Patchy rain possible
Kisumu,2023-12-10,24.5,19.1,21.3,82,20.39,12.6,Light rain shower
Kisumu,2023-12-11,25.7,18.9,21.8,77,8.57,13.0,Light rain shower
Kisumu,2023-12-12,26.5,18.3,21.9,75,5.05,12.6,Patchy rain possible
Kisumu,2023-12-13,26.5,18.3,22.0,75,8.7,10.4,Light rain shower
Kisumu,2023-12-14,24.8,19.0,21.6,81,10.03,12.2,Patchy rain possible
Kisumu,2023-12-15,26.5,19.3,22.3,76,9.3,10.1,Patchy rain possible
Kisumu,2023-12-16,26.2,19.3,22.4,75,6.96,10.4,Patchy rain possible
Kisumu,2023-12-17,26.8,19.4,22.8,72,1.43,9.0,Patchy rain possible
Kisumu,2023-12-18,27.1,17.8,22.4,69,0.49,14.4,Patchy rain possible
Kisumu,2023-12-19,27.6,20.1,23.2,68,2.35,11.5,Patchy rain possible
Kisumu,2023-12-20,27.0,20.1,22.4,75,7.4,12.6,Patchy rain possible
Kisumu,2023-12-21,24.0,20.4,21.6,77,1.43,12.2,Patchy rain possible
Kisumu,2023-12-22,27.2,19.2,22.9,67,0.36,11.9,Patchy rain possible
Kisumu,2023-12-23,27.4,19.3,23.0,65,0.06,12.6,Sunny
Kisumu,2023-12-24,28.3,19.2,23.0,66,1.1,10.4,Patchy rain possible
Kisumu,2023-12-25,27.9,20.1,23.3,66,3.13,11.5,Patchy rain possible
Kisumu,2023-12-26,26.7,19.3,22.5,71,0.44,11.9,Patchy rain possible
Kisumu,2023-12-27,27.3,20.5,23.5,66,1.69,11.9,Patchy rain possible
Kisumu,2023-12-28,24.6,18.3,21.1,79,12.94,18.0,Patchy light drizzle
Kisumu,2023-12-29,25.4,19.4,22.0,77,18.2,11.2,Light rain shower
Kisumu,2023-12-30,25.5,19.9,22.2,78,15.53,10.4,Light rain shower
Kisumu,2023-12-31,26.2,19.7,21.9,78,17.6,15.8,Patchy rain possible
Kisumu,2024-01-01,24.9,19.1,21.3,83,25.07,15.1,Light rain shower
Nakuru,2023-10-12,24.3,14.1,18.5,65,1.14,18.7,Patchy rain possible
Nakuru,2023-10-13,24.5,13.5,18.6,63,0.56,10.4,Patchy rain possible
Nakuru,2023-10-14,25.6,13.3,17.9,70,2.64,15.8,Patchy light drizzle
Nakuru,2023-10-15,25.7,13.3,17.4,76,3.46,13.7,Patchy light drizzle
Nakuru,2023-10-16,24.3,12.7,17.1,75,3.02,12.6,Light rain shower
Nakuru,2023-10-17,23.5,13.1,17.8,71,1.8,12.2,Light rain shower
Nakuru,2023-10-18,24.8,13.8,17.4,77,5.88,18.4,Patchy rain possible
Nakuru,2023-10-19,25.4,12.9,17.5,71,0.82,15.1,Patchy rain possible
Nakuru,2023-10-20,25.5,12.4,18.0,64,0.02,12.2,Patchy rain possible
Nakuru,2023-10-21,22.4,12.8,16.9,73,2.64,12.2,Patchy light drizzle
Nakuru,2023-10-22,23.5,13.4,17.3,78,6.05,17.3,Patchy light rain
Nakuru,2023-10-23,26.8,13.2,18.9,65,0.5,9.4,Patchy rain possible
Nakuru,2023-10-24,25.2,12.5,18.5,58,0.0,13.3,Sunny
Nakuru,2023-10-25,23.7,13.2,17.5,72,1.92,7.6,Patchy light drizzle
Nakuru,2023-10-26,25.1,12.6,18.1,64,0.22,12.6,Patchy rain possible
Nakuru,2023-10-27,23.6,12.3,17.1,68,0.31,14.8,Patchy rain possible
Nakuru,2023-10-28,23.2,12.2,17.1,68,0.9,9.7,Patchy rain possible
Nakuru,2023-10-29,22.1,12.3,16.2,80,3.42,15.8,Patchy light drizzle
Nakuru,2023-10-30,23.2,13.0,16.5,78,2.01,14.8,Patchy rain possible
Nakuru,2023-10-31,23.4,12.9,17.0,77,6.44,18.0,Patchy rain possible
Nakuru,2023-11-01,23.2,12.1,17.0,72,1.29,10.4,Patchy rain possible
Nakuru,2023-11-02,23.8,12.7,16.9,79,8.84,11.2,Light rain shower
Nakuru,2023-11-03,20.3,14.2,16.3,86,7.37,12.6,Light rain shower
Nakuru,2023-11-04,17.2,13.7,15.2,91,14.76,14.0,Light rain shower
Nakuru,2023-11-05,21.5,12.7,16.4,83,17.68,11.5,Light rain shower
Nakuru,2023-11-06,19.6,13.7,15.9,86,7.24,6.5,Light rain shower
Nakuru,2023-11-07,21.0,14.0,16.5,85,13.48,15.1,Light rain shower
Nakuru,2023-11-08,21.0,13.2,16.9,80,7.62,11.5,Light rain shower
Nakuru,2023-11-09,21.5,13.1,16.5,82,6.6,12.2,Light rain shower
